Zeit - sec	WBMS - m/s	Latitude - 	Longitude - 	Tag - 	Monat - 	Jahr - 	Stunden - 	Minuten - 	Sekunden - 
9,9666567	0,216	484,02643	117,002831	12	11	2020	12	58	1
9,99999	0,216	484,02643	117,002831	12	11	2020	12	58	1
10,0333233	0,216	484,026432	117,002831	12	11	2020	12	58	1
10,0666566	0,227	484,026432	117,002831	12	11	2020	12	58	1
10,0999899	0,227	484,026432	117,002831	12	11	2020	12	58	1
10,1333232	0,227	484,026434	117,002831	12	11	2020	12	58	1
10,1666565	0,227	484,026434	117,002831	12	11	2020	12	58	1
10,1999898	0,227	484,026434	117,002831	12	11	2020	12	58	1
10,2333231	0,227	484,026436	117,002831	12	11	2020	12	58	1
10,2666564	0,241	484,026436	117,002831	12	11	2020	12	58	1
10,2999897	0,241	484,026436	117,002831	12	11	2020	12	58	2
10,333323	0,241	484,026439	117,002831	12	11	2020	12	58	2
10,3666563	0,252	484,026439	117,002831	12	11	2020	12	58	2
10,3999896	0,252	484,026439	117,002831	12	11	2020	12	58	2
10,4333229	0,252	484,026441	117,002831	12	11	2020	12	58	2
10,4666562	0,263	484,026441	117,002831	12	11	2020	12	58	2
10,4999895	0,263	484,026441	117,002831	12	11	2020	12	58	2
10,5333228	0,263	484,026444	117,002831	12	11	2020	12	58	2
10,5666561	0,277	484,026444	117,002831	12	11	2020	12	58	2
10,5999894	0,277	484,026444	117,002831	12	11	2020	12	58	2
10,6333227	0,277	484,026446	117,002831	12	11	2020	12	58	2
10,666656	0,283	484,026446	117,002831	12	11	2020	12	58	2
10,6999893	0,283	484,026446	117,002831	12	11	2020	12	58	2
10,7333226	0,283	484,026449	117,002831	12	11	2020	12	58	2
10,7666559	0,294	484,026449	117,002831	12	11	2020	12	58	2
10,7999892	0,294	484,026449	117,002831	12	11	2020	12	58	2
10,8333225	0,294	484,026451	117,002831	12	11	2020	12	58	2
10,8666558	0,308	484,026451	117,002831	12	11	2020	12	58	2
10,8999891	0,308	484,026451	117,002831	12	11	2020	12	58	2
10,9333224	0,308	484,026454	117,00283	12	11	2020	12	58	2
10,9666557	0,313	484,026454	117,00283	12	11	2020	12	58	2
10,999989	0,313	484,026454	117,00283	12	11	2020	12	58	2
11,0333223	0,313	484,026457	117,00283	12	11	2020	12	58	2
11,0666556	0,319	484,026457	117,00283	12	11	2020	12	58	2
11,0999889	0,319	484,026457	117,00283	12	11	2020	12	58	2
11,1333222	0,319	484,02646	117,00283	12	11	2020	12	58	2
11,1666555	0,325	484,02646	117,00283	12	11	2020	12	58	2
11,1999888	0,325	484,02646	117,00283	12	11	2020	12	58	2
11,2333221	0,325	484,026463	117,002829	12	11	2020	12	58	2
11,2666554	0,336	484,026463	117,002829	12	11	2020	12	58	2
11,2999887	0,336	484,026463	117,002829	12	11	2020	12	58	3
11,333322	0,336	484,026466	117,002829	12	11	2020	12	58	3
11,3666553	0,336	484,026466	117,002829	12	11	2020	12	58	3
11,3999886	0,336	484,026466	117,002829	12	11	2020	12	58	3
11,4333219	0,336	484,026469	117,002829	12	11	2020	12	58	3
11,4666552	0,35	484,026469	117,002829	12	11	2020	12	58	3
11,4999885	0,35	484,026469	117,002829	12	11	2020	12	58	3
11,5333218	0,35	484,026473	117,002828	12	11	2020	12	58	3
11,5666551	0,361	484,026473	117,002828	12	11	2020	12	58	3
11,5999884	0,361	484,026473	117,002828	12	11	2020	12	58	3
11,6333217	0,361	484,026475	117,002827	12	11	2020	12	58	3
11,666655	0,366	484,026475	117,002827	12	11	2020	12	58	3
11,6999883	0,366	484,026475	117,002827	12	11	2020	12	58	3
11,7333216	0,366	484,026479	117,002827	12	11	2020	12	58	3
11,7666549	0,375	484,026479	117,002827	12	11	2020	12	58	3
11,7999882	0,375	484,026479	117,002827	12	11	2020	12	58	3
11,8333215	0,375	484,026482	117,002826	12	11	2020	12	58	3
11,8666548	0,38	484,026482	117,002826	12	11	2020	12	58	3
11,8999881	0,38	484,026482	117,002826	12	11	2020	12	58	3
11,9333214	0,38	484,026486	117,002826	12	11	2020	12	58	3
11,9666547	0,391	484,026486	117,002826	12	11	2020	12	58	3
11,999988	0,391	484,026486	117,002826	12	11	2020	12	58	3
12,0333213	0,391	484,026489	117,002825	12	11	2020	12	58	3
12,0666546	0,397	484,026489	117,002825	12	11	2020	12	58	3
12,0999879	0,397	484,026489	117,002825	12	11	2020	12	58	3
12,1333212	0,397	484,026493	117,002825	12	11	2020	12	58	3
12,1666545	0,402	484,026493	117,002825	12	11	2020	12	58	3
12,1999878	0,402	484,026493	117,002825	12	11	2020	12	58	3
12,2333211	0,402	484,026496	117,002824	12	11	2020	12	58	3
12,2666544	0,416	484,026496	117,002824	12	11	2020	12	58	3
12,2999877	0,416	484,026496	117,002824	12	11	2020	12	58	4
12,333321	0,416	484,0265	117,002824	12	11	2020	12	58	4
12,3666543	0,422	484,0265	117,002824	12	11	2020	12	58	4
12,3999876	0,422	484,0265	117,002824	12	11	2020	12	58	4
12,4333209	0,422	484,026504	117,002824	12	11	2020	12	58	4
12,4666542	0,427	484,026504	117,002824	12	11	2020	12	58	4
12,4999875	0,427	484,026504	117,002824	12	11	2020	12	58	4
12,5333208	0,427	484,026508	117,002823	12	11	2020	12	58	4
12,5666541	0,427	484,026508	117,002823	12	11	2020	12	58	4
12,5999874	0,427	484,026508	117,002823	12	11	2020	12	58	4
12,6333207	0,427	484,026513	117,002823	12	11	2020	12	58	4
12,666654	0,433	484,026513	117,002823	12	11	2020	12	58	4
12,6999873	0,433	484,026513	117,002823	12	11	2020	12	58	4
12,7333206	0,433	484,026518	117,002823	12	11	2020	12	58	4
12,7666539	0,438	484,026518	117,002823	12	11	2020	12	58	4
12,7999872	0,438	484,026518	117,002823	12	11	2020	12	58	4
12,8333205	0,438	484,026522	117,002822	12	11	2020	12	58	4
12,8666538	0,447	484,026522	117,002822	12	11	2020	12	58	4
12,8999871	0,447	484,026522	117,002822	12	11	2020	12	58	4
12,9333204	0,447	484,026527	117,002822	12	11	2020	12	58	4
12,9666537	0,452	484,026527	117,002822	12	11	2020	12	58	4
12,999987	0,452	484,026527	117,002822	12	11	2020	12	58	4
13,0333203	0,452	484,02653	117,002822	12	11	2020	12	58	4
13,0666536	0,458	484,02653	117,002822	12	11	2020	12	58	4
13,0999869	0,458	484,02653	117,002822	12	11	2020	12	58	4
13,1333202	0,458	484,026535	117,002822	12	11	2020	12	58	4
13,1666535	0,463	484,026535	117,002822	12	11	2020	12	58	4
13,1999868	0,463	484,026535	117,002822	12	11	2020	12	58	4
13,2333201	0,463	484,026538	117,002821	12	11	2020	12	58	4
13,2666534	0,463	484,026538	117,002821	12	11	2020	12	58	4
13,2999867	0,463	484,026538	117,002821	12	11	2020	12	58	5
13,33332	0,463	484,026543	117,002821	12	11	2020	12	58	5
13,3666533	0,469	484,026543	117,002821	12	11	2020	12	58	5
13,3999866	0,469	484,026543	117,002821	12	11	2020	12	58	5
13,4333199	0,469	484,026546	117,002821	12	11	2020	12	58	5
13,4666532	0,477	484,026546	117,002821	12	11	2020	12	58	5
13,4999865	0,477	484,026546	117,002821	12	11	2020	12	58	5
13,5333198	0,477	484,026551	117,002821	12	11	2020	12	58	5
13,5666531	0,483	484,026551	117,002821	12	11	2020	12	58	5
13,5999864	0,483	484,026551	117,002821	12	11	2020	12	58	5
13,6333197	0,483	484,026555	117,00282	12	11	2020	12	58	5
13,666653	0,488	484,026555	117,00282	12	11	2020	12	58	5
13,6999863	0,488	484,026555	117,00282	12	11	2020	12	58	5
13,7333196	0,488	484,02656	117,00282	12	11	2020	12	58	5
13,7666529	0,494	484,02656	117,00282	12	11	2020	12	58	5
13,7999862	0,494	484,02656	117,00282	12	11	2020	12	58	5
13,8333195	0,494	484,026564	117,002819	12	11	2020	12	58	5
13,8666528	0,5	484,026564	117,002819	12	11	2020	12	58	5
13,8999861	0,5	484,026564	117,002819	12	11	2020	12	58	5
13,9333194	0,5	484,026569	117,002819	12	11	2020	12	58	5
13,9666527	0,5	484,026569	117,002819	12	11	2020	12	58	5
13,999986	0,5	484,026569	117,002819	12	11	2020	12	58	5
14,0333193	0,5	484,026573	117,002819	12	11	2020	12	58	5
14,0666526	0,505	484,026573	117,002819	12	11	2020	12	58	5
14,0999859	0,505	484,026573	117,002819	12	11	2020	12	58	5
14,1333192	0,505	484,026578	117,002818	12	11	2020	12	58	5
14,1666525	0,513	484,026578	117,002818	12	11	2020	12	58	5
14,1999858	0,513	484,026578	117,002818	12	11	2020	12	58	5
14,2333191	0,513	484,026581	117,002818	12	11	2020	12	58	5
14,2666524	0,513	484,026581	117,002818	12	11	2020	12	58	5
